# SPDX-FileCopyrightText: 2026 Olivares.AI
# SPDX-License-Identifier: AGPL-3.0-only
#
# config-env-catalog.tsv — the ONE hand-written field per OLIVARES_* variable.
#
# THE ROSTER IS NOT HERE. It is enumerated from the non-test Go sources on every
# run by scripts/config-env-docs, so this file cannot decide which variables exist:
# a name in the code with no row here FAILS the gate, and a row here for a name the
# code no longer reads FAILS it too. Rows are rewritten sorted by
# `bash scripts/check-config-env-docs.sh --write`; edit the prose, not the roster.
#
# Columns, tab-separated: name	required(yes|no)	default(empty for none)	summary
OLIVARES_SSO_SECRET_KEY	no		Key that encrypts the federation client secret and service-provider private keys at rest.
OLIVARES_TARGET_BINDING_KEY	no		Key that binds an orchestration target to this deployment, inline. Prefer the file form.
OLIVARES_TARGET_BINDING_KEY_FILE	no		Path to the orchestration target binding key.
OLIVARES_TENANT	no		Default tenant for CLI commands, when `--tenant` is not given.
OLIVARES_THREATINTEL_CONFIG	no		Path to the JSON configuration of threat-intelligence ingest. Read by builds compiled with the `enterprise` tag.
OLIVARES_THREATINTEL_SIGNING_KEY	no		Signing key for threat-intelligence bundles the engine publishes.
OLIVARES_TOKEN	no		API token the CLI authenticates with, when `--token` is not given.
OLIVARES_UPDATE_CHANNEL	no		Release channel the update check asks for, such as `stable`.
OLIVARES_UPDATE_ENDPOINT	no		Base URL the update check queries. Unset leaves the update check off.
OLIVARES_UPGRADE_TOKEN	no		Download token `olivares upgrade` presents when fetching a build from a credentialed repository.
OLIVARES_VECTOR_	no		Family prefix for the vector index settings listed above.
OLIVARES_VECTOR_API_KEY	no		API key for the external vector index.
OLIVARES_VECTOR_BACKEND	no		Which vector index backs knowledge search. Unset keeps the in-process index, which is the air-gapped default.
OLIVARES_VECTOR_DIM	no		Vector dimension of the index, which has to match the embeddings model.
OLIVARES_VECTOR_DSN	no		Connection string for the external vector index.
OLIVARES_VECTOR_NAMESPACE	no	knowledge_ann	Table or collection the vector index writes to.
OLIVARES_VECTOR_TIMEOUT	no		Per-request timeout for the vector index, as a Go duration.
OLIVARES_VOICE_CALL_CONFIG	no		Path to the JSON configuration of the inbound voice webhook.
OLIVARES_VOICE_DISPATCH_CONFIG	no		Path to the JSON configuration of outbound voice dispatch.
OLIVARES_WEBAUTHN_ORIGINS	no		Comma-separated origins accepted for WebAuthn ceremonies.
OLIVARES_WEBAUTHN_RPID	no		WebAuthn relying-party id for the privileged-login flow. It has to match the site's registrable domain.
OLIVARES_WEBAUTHN_RP_NAME	no		Display name of the WebAuthn relying party, as shown by the authenticator.
OLIVARES_WIF_	no		Family prefix for the workload identity federation settings listed above.
OLIVARES_WIF_BASE_URL	no		Endpoint the workload identity exchange is performed against.
OLIVARES_WIF_REFRESH_SLACK	no	60s	How long before expiry a federated credential is refreshed, as a Go duration.
OLIVARES_WIF_SPIFFE_SOCKET	no		Path to the SPIFFE workload API socket the engine fetches its identity from.
OLIVARES_WIF_TRUST_DOMAIN	no		SPIFFE trust domain accepted for workload identity.
OLIVARES_WORK_	no		Family prefix for the per-run values the engine passes into a launched work session.
OLIVARES_WORK_OUTBOX_INTERVAL	no		How often the work-kernel outbox is drained, as a Go duration. `0` disables the pump.
OLIVARES_WORK_RUN_REF	no		Run reference the engine passes to a launched work session. Set by the engine per run, not by the operator.
OLIVARES_WORK_SESSION_ID	no		Session reference the engine passes to a launched work session. Set by the engine per run, not by the operator.
OLIVARES_WORK_TOKEN	no		Scoped token the engine passes to a launched work session. Set by the engine per run, not by the operator.
